City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Vila Velha,BR,71.94,1,-20.3297,-40.2925,Hotel Vitória Palace
4,Rikitea,PF,77.13,100,-23.1203,-134.9692,People ThankYou
5,Sinnamary,GF,78.94,64,5.3833,-52.95,ALETHEIA Appartement Sinnamary
6,Sao Filipe,CV,70.95,9,14.8961,-24.4956,Hotel Xaguate
7,Maragogi,BR,75.81,100,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
9,Caxito,AO,72.93,100,-8.5785,13.6643,
12,Meulaboh,ID,85.62,100,4.1363,96.1285,Kost Pria
15,Iracoubo,GF,79.05,57,5.4802,-53.2011,Le Gîte d’Iracoubo
16,Hilo,US,75.27,100,19.7297,-155.09,Hilo Hawaiian Hotel
18,Saint-Philippe,RE,78.22,44,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
19,Bonthe,SL,80.29,88,7.5264,-12.505,Bonthe Holiday Village
23,Kahului,US,80.62,40,20.8947,-156.47,Maui Seaside Hotel
25,Faanui,PF,81.36,13,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
27,Atuona,PF,79.12,100,-9.8,-139.0333,Villa Enata
28,Riyadh,SA,77.14,1,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
34,Labuhan,ID,85.42,59,-6.8844,112.2051,DoubleFAG
35,Avarua,CK,80.65,40,-21.2078,-159.775,Paradise Inn
36,Kapaa,US,80.58,49,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
37,Alugan,PH,84.61,100,12.2188,125.4808,JM Lodge
44,Vaini,TO,75.36,100,-21.2,-175.2,Keleti Beach Resort
55,Baghdad,IQ,73.31,0,33.3406,44.4009,Baghdad Hotel
60,Carnarvon,AU,81.91,0,-24.8667,113.6333,Hospitality Carnarvon
61,Nam Som,TH,85.3,85,17.7704,102.1895,โรงแรมวุฒิโชค น้ำโสม ที่พักไกล้วัดป่าภูก้อน ราคา 500฿
70,Puerto Ayora,EC,71.38,55,-0.7393,-90.3518,Finch Bay Galapagos Hotel
71,Hithadhoo,MV,85.1,55,-0.6,73.0833,Scoop Guest House
77,Butaritari,KI,81.54,48,3.0707,172.7902,Isles Sunset Lodge
79,Sabha,LY,70.2,0,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
87,Airai,TL,77.65,79,-8.9266,125.4092,
88,Salinopolis,BR,78.26,99,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
89,Souillac,MU,75.96,0,-20.5167,57.5167,Shanti Maurice Resort & Spa
97,Russellville,US,74.14,0,35.2784,-93.1338,Hampton Inn Russellville
100,Yaring,TH,85.28,83,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
104,Basco,PH,82.99,89,20.4487,121.9702,Nathaniel's Lodge
113,Acarau,BR,78.19,100,-2.8856,-40.12,castelo pizzaria
116,Itacoatiara,BR,73.78,100,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
117,Sarangani,PH,79.25,100,5.4033,125.4636,Ballistic Islet
119,Lobito,AO,76.21,91,-12.3481,13.5456,Casa Rosa Hotel Residence
120,Arraial Do Cabo,BR,75.11,3,-22.9661,-42.0278,Pousada Porto Praia
121,Georgetown,MY,89.53,40,5.4112,100.3354,Cititel Penang
122,Auki,SB,82.83,93,-8.7676,160.7034,Auki Motel
126,Balkanabat,TM,76.55,100,39.5108,54.3671,Nebitchi Hotel
127,Poum,NC,77.32,49,-20.2333,164.0167,
129,Saint George,US,70.39,0,37.1041,-113.5841,Best Western Plus Abbey Inn
131,Rawalpindi,PK,89.24,3,33.6007,73.0679,Hotel Akbar International
132,Baijiantan,CN,71.47,65,45.6333,85.1833,
136,Sao Joao Da Barra,BR,71.8,2,-21.6403,-41.0511,Pousada Porto De Canoas
139,Bandarbeyla,SO,84.2,26,9.4942,50.8122,JABIR HOTEL
144,Kamra,PK,82.96,2,33.7473,73.5111,Jangle Hotel
145,Panguna,PG,75.45,56,-6.3164,155.4848,
152,Lazaro Cardenas,MX,75.78,8,17.9583,-102.2,HOTEL QUINTA ANTIGUA
157,Adrar,MR,70.74,18,20.5022,-10.0711,
158,Muncar,ID,86.05,76,-8.4333,114.3333,Zaky Homestay
159,Port Blair,IN,87.85,99,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
160,Acapulco,MX,80.42,20,16.8634,-99.8901,HS Hotsson Smart Acapulco
161,Palauig,PH,87.98,100,15.435,119.9045,Alperi Botique Resort
162,Cabo San Lucas,MX,78.1,21,22.8909,-109.9124,Hotel Tesoro Los Cabos
166,Itamaraca,BR,77.05,87,-7.7478,-34.8256,Special K's Bed & Breakfast
167,Mahebourg,MU,78.26,2,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
175,Marzuq,YE,75.34,2,14.4,46.4667,
178,Kokopo,PG,82.9,97,-4.352,152.2633,Kokopo Beach Bungalow Resort
181,Nabire,ID,81.28,100,-3.3667,135.4833,Hotel Nusantara I
191,Namibe,AO,72.05,35,-15.1961,12.1522,Hotel Chik Chik Namibe
197,Caravelas,BR,73.27,0,-17.7125,-39.2481,Pousada dos Navegantes
199,Grand Gaube,MU,78.39,5,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
204,Wanning,CN,78.55,100,18.8003,110.3967,Paradise Hotel
207,Hambantota,LK,86.34,20,6.1241,81.1185,Bungalow 63
210,Ibra,OM,88.9,7,22.6906,58.5334,مزرعة راحة النفوس المنزفة
211,Celestun,MX,77.7,25,20.8667,-90.4,Posada Lilia
212,Bambous Virieux,MU,78.22,4,-20.3428,57.7575,Casa Tia Villa
219,Bacong,PH,85.89,31,9.2464,123.2956,Sta Monica Beach Club
221,Mount Isa,AU,89.37,12,-20.7333,139.5,ibis Styles Mt Isa Verona
232,Altamira,BR,72.5,100,-3.2033,-52.2064,Requinte Hotel
237,Bengkulu,ID,84.4,16,-3.8004,102.2655,Grage Hotel Bengkulu
239,Raga,SS,77.79,100,8.4596,25.678,
241,Carutapera,BR,76.03,86,-1.195,-46.02,Lidera
243,Ushtobe,KZ,72.73,96,45.2514,77.9838,Filipin Squad
245,Salalah,OM,86.09,0,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
246,Corrente,BR,71.15,80,-3.7367,-43.3394,Chapadinhense Hotel
248,Port Hedland,AU,82.45,75,-20.3167,118.5667,The Esplanade Hotel
249,Vung Tau,VN,81.81,100,10.346,107.0843,Seaside Resort
250,Chanute,US,75.31,100,37.6792,-95.4572,Guest House Motel Chanute
251,Hue,VN,80.71,75,16.4667,107.6,Saigon Morin Hotel
255,Taoudenni,ML,75.72,39,22.6783,-3.9836,
256,Isangel,VU,76.8,97,-19.55,169.2667,Tanna Lodge
260,Denpasar,ID,83.86,75,-8.65,115.2167,OYO 3156 Hotel Warta 2
266,Jasper,US,74.01,0,37.2001,-94.3502,Guest House Motel
270,Shu,KZ,71.01,100,43.5983,73.7614,Shyngyzkhan
274,Kidal,ML,81.03,3,18.4411,1.4078,
276,Neiafu,TO,81.28,75,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
278,Boca Do Acre,BR,73.83,98,-8.7522,-67.3978,Hotel Sao Pedro
280,San Patricio,US,77.09,6,28.017,-97.5169,"Motel 6 Sinton, TX"
287,Yulara,AU,73.24,98,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
294,Namatanai,PG,84.45,47,-3.6667,152.4333,Seagulls Inn Namatani
295,Mayumba,GA,74.59,100,-3.432,10.6554,LIKWALE LODGE
297,Dingle,PH,87.39,86,10.9995,122.6711,SEGAYA PROPERTY
298,Andros Town,BS,73.36,0,24.7,-77.7667,Hanks place
300,Geraldton,AU,79.21,0,-28.7667,114.6,Broadwater Mariner Resort
301,Buala,SB,83.05,100,-8.145,159.5921,Maringe Lagoon Lodge
303,Lebanon,US,70.97,84,36.2081,-86.2911,Hampton Inn & Suites Lebanon
309,San Cristobal,VE,73.58,78,7.7669,-72.225,Pirineos
314,Bucerias,MX,71.58,0,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
316,Kupang,ID,86.76,71,-10.1667,123.5833,Hotel On The Rock by Prasanthi
324,Tessalit,ML,75.87,0,20.1986,1.0114,
326,Bambanglipuro,ID,86.49,12,-7.95,110.2833,Puri Brata
327,Victoria,HK,80.96,100,22.2855,114.1577,Mini Hotel Central
334,Bowen,AU,78.26,46,-20.0167,148.2333,Castle Motor Lodge Motel
342,Komsomolskiy,UZ,74.12,33,40.4272,71.7189,Ikathouse
345,Cap Malheureux,MU,78.48,6,-19.9842,57.6142,Pereybere Hotel & Spa
346,Kapoeta,SS,74.64,100,4.7717,33.5903,Eastgate Hotel
347,Baglung,NP,85.14,5,28.2719,83.5898,Hotel Peace Palace
353,Stephenville,US,75.99,0,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
356,Kyabe,TD,80.83,100,9.4515,18.9449,
357,Cayenne,GF,82.09,75,4.9333,-52.3333,Hôtel Le Dronmi
359,Erzin,TR,70.27,99,36.9559,36.2,Artemis Otel
360,Saint-Pierre,RE,78.3,0,-21.3393,55.4781,Lindsey Hôtel
366,Marsh Harbour,BS,73.6,99,26.5412,-77.0636,Abaco Beach Resort
369,Vao,NC,74.01,100,-22.6667,167.4833,Hotel Kou-Bugny
371,Sorong,ID,83.97,84,-0.8833,131.25,Waigo Splash Hotel
372,Soyo,AO,74.14,100,-6.1349,12.3689,Hotel Mpampa
374,Padang,ID,87.85,82,-0.9492,100.3543,Mercure Padang
385,Kousseri,CM,88.05,96,12.0769,15.0306,Le Pilotis
386,Pascagoula,US,73.45,40,30.3658,-88.5561,Regency Inn
387,Mitsamiouli,KM,80.08,100,-11.3847,43.2844,Foyer ADM
389,Barranquilla,CO,80.38,20,10.9639,-74.7964,HOTEL AVANTY
390,Tautira,PF,80.42,24,-17.7333,-149.15,Pension Oaoa
391,Mirabad,AF,88.29,14,30.4362,61.8383,
392,Thanh Hoa,VN,87.93,100,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
395,Luanda,AO,74.84,100,-8.8368,13.2343,EPIC SANA Luanda
399,Lethem,GY,77.95,71,3.3803,-59.7968,Savannah Inn
400,Teknaf,BD,86.94,87,20.8624,92.3058,Forestry Guesthouse
403,Butterworth,MY,89.64,40,5.3991,100.3638,Cititel Penang
404,Champerico,GT,83.93,72,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
406,Marihatag,PH,85.95,65,8.7936,126.2969,Mariner's Place & Resort
412,Bull Savanna,JM,73.78,39,17.8868,-77.5902,Big Red's
414,Monrovia,LR,79.92,87,6.3005,-10.7969,Sunset Inn
417,Puerto Escondido,MX,83.23,75,15.85,-97.0667,Aldea del Bazar Hotel and Spa
418,Araouane,ML,76.53,0,18.9048,-3.5265,
422,Touros,BR,75.16,97,-5.1989,-35.4608,INN NEW HORIZON
425,Kailua,US,80.58,75,21.4022,-157.7394,Sheffield House Bed & Breakfast
427,Boysun,UZ,73.31,2,38.2061,67.1986,Gaza Hotel
428,Puerto Leguizamo,CO,70.2,95,-0.1934,-74.7819,la casona de juancho
430,Agua Verde,MX,71.69,0,22.9,-106.05,
438,Vaitape,PF,81.34,13,-16.5167,-151.75,Conrad Bora Bora Nui
441,Conceicao Do Araguaia,BR,74.52,60,-8.2578,-49.2647,Tarumã Tropical Hotel
443,Panlaitan,PH,86.13,100,12.1191,119.8486,SOUTH BEACH
445,Harper,LR,79.93,53,4.375,-7.7169,Screensaver
447,Gondanglegi,ID,85.64,41,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
452,Gizo,SB,84.29,56,-8.103,156.8419,Imagination Island
453,Kavieng,PG,84.15,89,-2.5744,150.7967,Nusa Island Retreat
454,Bara,NG,81.66,100,10.3744,10.7288,
456,Coahuayana,MX,70.79,11,18.7333,-103.6833,El rranchito michuacan de ocampos
457,Lorengau,PG,83.28,85,-2.0226,147.2712,Lorengau Harbourside Hotel
459,Pundaguitan,PH,81.41,99,6.3711,126.1689,Leonardo Family Beach House 1
460,Bubaque,GW,76.57,94,11.2833,-15.8333,"Casa Dora, Bubaque"
461,Bathsheba,BB,81.21,75,13.2167,-59.5167,Atlantis Hotel
464,Axim,GH,78.58,97,4.8699,-2.2405,Axim Beach Resort And Spa
465,Ternate,ID,82.87,96,0.8,127.4,Sahid Bela Ternate Hotel
466,Buchanan,LR,78.71,90,5.8808,-10.0467,Kamaneahn Hotel Inc
467,Thinadhoo,MV,85.57,82,0.5333,72.9333,
468,Tiarei,PF,84.0,14,-17.5333,-149.3333,Le Rocher de Tahiti
470,Venezuela,VE,80.15,100,8.0,-66.0,
474,Honiara,SB,83.84,100,-9.4333,159.95,Heritage Park Hotel
482,Anloga,GH,81.75,100,5.7947,0.8973,Pin Drop Hotel
484,Abnub,EG,80.49,4,27.2696,31.1511,مضيفت اولاد احمد ابو حسين
487,Cockburn Town,TC,76.93,100,21.4612,-71.1419,Osprey Beach Hotel
489,Gat,IL,86.77,29,31.61,34.7642,OlusHome
491,Ati,TD,85.03,92,13.2154,18.3353,
495,Panama City,PA,80.44,20,8.9936,-79.5197,Trump International Hotel & Tower Panama
499,Biltine,TD,83.08,72,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
506,Mahibadhoo,MV,86.02,100,3.7833,72.9667,Omadhoo Inn
508,Miri,MY,87.15,60,4.4148,114.0089,"Mega Hotel, Miri"
509,Takoradi,GH,79.21,86,4.8845,-1.7554,Raybow International Hotel
511,Zimmi,SL,73.71,97,7.3153,-11.3061,
514,Puerto Baquerizo Moreno,EC,71.28,84,-0.9,-89.6,Hotel los Algarrobos
516,Saint-Joseph,RE,77.22,20,-21.3667,55.6167,"""Plantation Bed and Breakfast"
521,Casino,AU,80.55,97,-28.8667,153.05,Squatters Homestead Motel
523,Itaituba,BR,72.93,100,-4.2761,-55.9836,Hotel Campos
529,Maningrida,AU,89.89,54,-12.0667,134.2667,Dhukurrdji Lodge
534,Diapaga,BF,83.73,61,12.0708,1.7889,
536,Bandipur,NP,87.39,4,27.9333,84.4167,Bandipur Guest House
537,Paso Del Macho,MX,76.5,96,18.9667,-96.7167,Hotel Hidalgo
539,Miramar,US,77.02,20,25.9873,-80.2323,Stadium Hotel
542,Sawtell,AU,80.19,87,-30.3833,153.1,The Bungalow Sawtell
545,Quang Ngai,VN,84.36,67,15.1167,108.8,Central Hotel
547,Dovolnoye,RU,71.24,84,54.4958,79.6671,Gostinitsa
549,Ialibu,PG,72.28,86,-6.2821,143.9935,Eastwood Guesthouse
551,Matara,LK,87.44,87,5.9485,80.5353,Amaloh Boutique Resort
552,Humberto De Campos,BR,74.53,84,-2.5983,-43.4611,Pousada do Cabeça
553,Oussouye,SN,71.28,65,12.485,-16.5469,Auberge du Routard
554,Olinda,BR,76.73,40,-8.0089,-34.8553,Flat Quatro Rodas Olinda
555,Kieta,PG,83.16,26,-6.2167,155.6333,Uruna Bay Retreat
561,Upata,VE,75.2,62,8.0086,-62.3989,Posada Villa Nela
564,Borba,BR,73.17,100,-4.3878,-59.5939,Hotel da Amazônia
565,Tecoanapa,MX,80.38,2,16.5167,-98.75,Hotel Manglares
566,Richards Bay,ZA,70.79,93,-28.783,32.0377,BON Hotel Waterfront Richards Bay
568,Fare,PF,80.69,2,-16.7,-151.0167,Maitai Lapita Village Huahine
569,Estelle,US,75.2,0,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
571,Manacapuru,BR,74.79,100,-3.2997,-60.6206,Novo Hotel
573,Grand-Santi,GF,72.36,96,4.25,-54.3833,Hotel La Villa Couacou
574,Tabou,CI,79.61,57,4.423,-7.3528,hotêl doufoulougou
578,Aitape,PG,83.68,95,-3.1374,142.3475,
580,Sola,VU,81.43,100,-13.8833,167.55,Leumerus Bungalows
584,Sakakah,SA,73.0,40,29.9697,40.2064,Fakhamat Al Orjoana Apartment
586,Kavaratti,IN,85.93,100,10.5669,72.642,Hotels in Lakshadweep Islands
589,Alofi,NU,80.67,96,-19.0595,-169.9187,Taloa Heights
590,Yenagoa,NG,76.24,99,4.9247,6.2642,Aridolf Resort Wellness and Spa
591,Joshimath,IN,74.8,33,30.5667,79.5667,Shivalik Camps & Resort
596,Kralendijk,BQ,80.58,40,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
597,Tutoia,BR,78.26,100,-2.7619,-42.2744,Pousada Guará's
598,Kuntaur,GM,76.62,34,13.6667,-14.8833,Kairoh Garden Kuntaur
599,Poso,ID,85.91,55,-1.3959,120.7524,Hotel 77 Poso
601,Simbahan,PH,82.45,100,6.3032,120.5836,
604,Voh,NC,77.11,74,-20.9667,164.7,Le gîte du Koniambo
605,Rantepao,ID,84.31,69,-2.9701,119.8978,Hotel Luta Resort
607,Garowe,SO,77.94,63,8.4054,48.4845,Curubo Hotel
608,Kencong,ID,86.43,90,-8.2833,113.3667,GUBUK SUGIANTO
609,Port Said,EG,70.07,39,31.2565,32.2841,Aracan Hotel
613,Tura,IN,83.41,98,25.5198,90.2201,Hotel RIKMAN Continental
614,Pokhara,NP,86.2,7,28.2333,83.9833,OYO 170 Hotel View Point
615,Quatre Cocos,MU,78.1,5,-20.2078,57.7625,Sunrise Attitude Hotel
616,Miandrivazo,MG,73.18,71,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
618,Omboue,GA,77.09,100,-1.5746,9.2618,Hotel Olako
624,Iralaya,HN,77.92,98,15.0,-83.2333,Iglesia morava renovada
630,Port Moresby,PG,84.96,99,-9.4431,147.1797,Lamana Hotel (Port Moresby)
634,Abu Dhabi,AE,86.02,0,24.4667,54.3667,Beach Rotana
636,Biak,ID,81.36,93,-0.9131,122.8766,Penginapan Kim
637,Vilhena,BR,71.69,65,-12.7406,-60.1458,Hotel Mirage
638,Waingapu,ID,85.98,100,-9.6567,120.2641,Pondok Wisata Elim
645,Dosso,NE,81.21,91,13.049,3.1937,Hotel Toubal
651,Caruray,PH,86.32,100,10.3094,119.0128,
