City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vila Velha,-20.3297,-40.2925,71.94,92,1,3.98,BR,2022-04-30 04:01:19
1,Chapais,49.7834,-74.8492,26.8,94,8,5.86,CA,2022-04-30 04:04:06
2,Kamenka,51.3223,42.7678,44.51,79,10,8.86,RU,2022-04-30 04:02:05
3,Port Elizabeth,-33.918,25.5701,61.32,73,0,10.0,ZA,2022-04-30 03:59:17
4,Rikitea,-23.1203,-134.9692,77.13,68,100,16.15,PF,2022-04-30 04:04:06
5,Sinnamary,5.3833,-52.95,78.94,82,64,11.65,GF,2022-04-30 04:04:07
6,Sao Filipe,14.8961,-24.4956,70.95,69,9,8.03,CV,2022-04-30 04:01:42
7,Maragogi,-9.0122,-35.2225,75.81,80,100,4.21,BR,2022-04-30 04:04:07
8,Waharoa,-37.7667,175.7667,67.98,63,2,7.36,NZ,2022-04-30 04:04:08
9,Caxito,-8.5785,13.6643,72.93,99,100,0.85,AO,2022-04-30 04:04:08
10,Albany,42.6001,-73.9662,43.79,46,1,6.91,US,2022-04-30 04:01:04
11,Tsaratanana,-16.7833,47.65,68.95,81,1,6.13,MG,2022-04-30 04:04:09
12,Meulaboh,4.1363,96.1285,85.62,68,100,0.83,ID,2022-04-30 04:04:09
13,Torbay,47.6666,-52.7314,38.88,95,100,3.0,CA,2022-04-30 04:03:19
14,Iqaluit,63.7506,-68.5145,0.75,91,40,3.36,CA,2022-04-30 04:00:33
15,Iracoubo,5.4802,-53.2011,79.05,80,57,11.79,GF,2022-04-30 04:04:09
16,Hilo,19.7297,-155.09,75.27,88,100,8.05,US,2022-04-30 04:04:10
17,Longyearbyen,78.2186,15.6401,6.64,72,40,8.05,SJ,2022-04-30 04:02:07
18,Saint-Philippe,-21.3585,55.7679,78.22,82,44,14.45,RE,2022-04-30 04:02:59
19,Bonthe,7.5264,-12.505,80.29,78,88,2.62,SL,2022-04-30 04:04:10
20,Tapa,59.2606,25.9586,32.77,69,15,0.76,EE,2022-04-30 04:04:11
21,Christchurch,-43.5333,172.6333,62.94,75,3,14.97,NZ,2022-04-30 04:00:01
22,Mastic Beach,40.7668,-72.8521,52.99,35,0,3.44,US,2022-04-30 04:04:11
23,Kahului,20.8947,-156.47,80.62,66,40,21.85,US,2022-04-30 04:04:11
24,Busselton,-33.65,115.3333,66.18,54,0,2.8,AU,2022-04-30 04:04:12
25,Faanui,-16.4833,-151.75,81.36,72,13,17.05,PF,2022-04-30 04:04:12
26,Colares,38.7992,-9.4469,62.78,69,28,15.01,PT,2022-04-30 04:04:13
27,Atuona,-9.8,-139.0333,79.12,73,100,15.93,PF,2022-04-30 04:04:13
28,Riyadh,24.6877,46.7219,77.14,40,1,6.91,SA,2022-04-30 04:00:55
29,Port Alfred,-33.5906,26.891,57.18,80,41,5.01,ZA,2022-04-30 04:04:14
30,Great Falls,47.5002,-111.3008,42.17,75,0,6.91,US,2022-04-30 04:04:14
31,Yamada,39.4667,141.95,50.45,73,4,1.34,JP,2022-04-30 04:04:14
32,Norman Wells,65.282,-126.8329,37.09,87,65,5.39,CA,2022-04-30 04:04:15
33,Lasa,46.6166,10.7002,47.35,96,100,2.01,IT,2022-04-30 04:04:15
34,Labuhan,-6.8844,112.2051,85.42,72,59,3.96,ID,2022-04-30 04:04:15
35,Avarua,-21.2078,-159.775,80.65,83,40,13.8,CK,2022-04-30 04:04:16
36,Kapaa,22.0752,-159.319,80.58,82,49,5.01,US,2022-04-30 04:00:20
37,Alugan,12.2188,125.4808,84.61,71,100,7.14,PH,2022-04-30 04:04:16
38,Sieradz,51.5958,18.7302,34.25,70,27,2.33,PL,2022-04-30 03:59:25
39,Yar-Sale,66.8333,70.8333,25.07,81,100,17.11,RU,2022-04-30 04:04:17
40,Igarka,67.4667,86.5833,22.75,76,10,9.71,RU,2022-04-30 04:04:17
41,Qaanaaq,77.484,-69.3632,7.86,71,52,8.34,GL,2022-04-30 03:59:23
42,Valer,60.6785,11.8331,35.85,69,59,1.7,NO,2022-04-30 04:04:18
43,Ribeira Grande,38.5167,-28.7,61.83,88,11,15.88,PT,2022-04-30 04:04:18
44,Vaini,-21.2,-175.2,75.36,100,100,6.91,TO,2022-04-30 04:04:18
45,Kalachinsk,55.0529,74.5751,61.32,62,31,9.82,RU,2022-04-30 04:04:19
46,Nikolskoye,59.7035,30.7861,36.88,76,19,4.99,RU,2022-04-30 04:03:02
47,Greymouth,-42.4667,171.2,59.07,81,88,5.1,NZ,2022-04-30 04:04:34
48,Kodiak,57.79,-152.4072,42.31,87,100,29.93,US,2022-04-30 04:04:35
49,Klaksvik,62.2266,-6.589,45.52,76,100,9.04,FO,2022-04-30 04:04:35
50,Tuktoyaktuk,69.4541,-133.0374,33.31,85,100,8.86,CA,2022-04-30 04:04:35
51,Ushuaia,-54.8,-68.3,37.06,81,20,8.05,AR,2022-04-30 04:04:36
52,Myaundzha,63.0494,147.1858,28.18,83,88,0.74,RU,2022-04-30 04:04:36
53,Upernavik,72.7868,-56.1549,12.76,88,100,23.02,GL,2022-04-30 04:04:36
54,Ketchikan,55.3422,-131.6461,48.18,66,40,3.44,US,2022-04-30 04:04:37
55,Baghdad,33.3406,44.4009,73.31,60,0,6.91,IQ,2022-04-30 04:04:00
56,Muros,42.7762,-9.0603,52.84,91,28,3.53,ES,2022-04-30 04:04:37
57,Hofn,64.2539,-15.2082,45.79,66,11,4.61,IS,2022-04-30 04:04:38
58,Narsaq,60.9167,-46.05,39.42,80,100,2.21,GL,2022-04-30 04:04:38
59,Launceston,-41.45,147.1667,60.62,53,40,20.71,AU,2022-04-30 04:04:38
60,Carnarvon,-24.8667,113.6333,81.91,43,0,12.75,AU,2022-04-30 04:04:39
61,Nam Som,17.7704,102.1895,85.3,51,85,3.62,TH,2022-04-30 04:04:39
62,Maniitsoq,65.4167,-52.9,9.61,76,45,10.07,GL,2022-04-30 04:04:39
63,Marrakesh,31.6315,-8.0083,59.07,63,0,1.14,MA,2022-04-30 04:03:03
64,Cape Town,-33.9258,18.4232,57.11,91,19,1.01,ZA,2022-04-30 04:01:17
65,Waipawa,-41.4122,175.5153,59.95,61,0,6.02,NZ,2022-04-30 04:04:40
66,Qasigiannguit,68.8193,-51.1922,19.65,83,100,8.9,GL,2022-04-30 04:04:40
67,Cherskiy,68.75,161.3,14.74,86,96,6.64,RU,2022-04-30 04:04:41
68,Punta Arenas,-53.15,-70.9167,38.57,77,95,2.68,CL,2022-04-30 04:04:12
69,Hermanus,-34.4187,19.2345,53.8,81,56,7.09,ZA,2022-04-30 04:04:41
70,Puerto Ayora,-0.7393,-90.3518,71.38,92,55,5.19,EC,2022-04-30 04:03:13
71,Hithadhoo,-0.6,73.0833,85.1,72,55,9.26,MV,2022-04-30 04:04:19
72,Castro,-24.7911,-50.0119,57.06,97,99,8.01,BR,2022-04-30 04:04:42
73,Provideniya,64.3833,-173.3,33.85,89,99,12.35,RU,2022-04-30 04:01:48
74,Fortuna,40.5982,-124.1573,56.66,73,100,0.0,US,2022-04-30 04:01:47
75,Lata,40.1629,-8.3327,55.08,73,0,2.01,PT,2022-04-30 04:04:42
76,Codrington,-38.2667,141.9667,62.26,49,97,19.48,AU,2022-04-30 04:04:43
77,Butaritari,3.0707,172.7902,81.54,77,48,9.15,KI,2022-04-30 04:02:53
78,Qaqortoq,60.7167,-46.0333,36.97,89,99,2.21,GL,2022-04-30 04:04:43
79,Sabha,27.0377,14.4283,70.2,26,0,14.5,LY,2022-04-30 04:04:44
